id,combined,label,label2
1,"소독회사 같이 키워갈 하방맨3기를 모집합니다.일 12만이상 수당지급 / 서비스 기타, 청소·미화·방역",,
2,"구내식당 조리사,조리원 종일근무/ 조리업무가능자 모집합니다. / 주방·주방보조·설거지, 주방장·조리사",,
3,"국밥집 야간 주방 파트1명 주3~4일근무 급여및 조건 면접시결정 주례 냉정역4번출구 / 주방·주방보조·설거지, 서빙·포장",,
4,동원홈푸드 단체급식 조리보조원구함 / 주방·주방보조·설거지,,
5,"하방맨3기모집.하나방역 본사에서 영업에 자신 있어신 분을 모집합니다.수당지급 / 서비스 기타, 청소·미화·방역",,
6,"소독회사 같이 키워갈 하방맨3기를 모집합니다.일 12만이상 수당지급.선착순5명 / 서비스 기타, 청소·미화·방역",,
7,"아파트 복합시설 공장 지중관로 케이블포설업무 신입, 경력직모집 / 건설현장, 전기·조명·시설관리",,
8,"병원 주차원 모집 운전능숙한자 (외제차포함/조식,중식제공) / 주차관리·주차도우미",,
9,"요양병원 간병인구해요 7~18,18~7시 교대근무 월9회휴무 / 요양·간병·돌봄, 요양·간호·의료 기타",,
10,"T셔츠 전문업체 본봉사, 특종 구함 / 섬유·재단·미싱",,
11,"병원 단체급식 주방 조리보조 및 배식 담당 조리원 구인 / 주방·주방보조·설거지, 서빙·포장",,
12,"신입200만원/교육비150만원/면접선물/경력우대 / 인바운드·CS, 아웃바운드·TM, 금융·보험·카드",,
13,"신입200만원/교육비150만원/면접선물/재택가능 / 인바운드·CS, 아웃바운드·TM, 금융·보험·카드",,
14,"오픈 1기] 콜센터신입200만원/교육비150만/면접선물 / 인바운드·CS, 아웃바운드·TM, 금융·보험·카드",,
15,"간단한 서빙,셋팅,정리 하실분 모집(일15만원이상)-중장년 주부가능 / 서빙·포장, 청소·미화·방역, 상조·웨딩·연회",,
16,"경력 1도 없어도 가능 / 유통·판매 기타, 사무·기획·관리·홍보, 인바운드·CS",,
17,"(10-3시파트재택가능) 교육비150신입200만경력400만보장면접선물 / 인바운드·CS, 아웃바운드·TM, 금융·보험·카드",,
18,"10-2시2-6시] 재택가능교육비150만신입200만/경력업적무관400만 / 인바운드·CS, 아웃바운드·TM, 금융·보험·카드",,
19,"상담  교육비150 / 신입200만 / 경력전직소득보장 / 인바운드·CS, 아웃바운드·TM, 금융·보험·카드",,
20,"인바운드·CS, 아웃바운드·TM, 금융·보험·카드",,
21,"4시간 상담직 교육비150만/신입200만/경력전소득보장 / 인바운드·CS, 아웃바운드·TM, 금융·보험·카드, 일반·기술영업",,
22,"바리스타(220만원+인센) / 베이커리 정직원 및 보조 / 주방·주방보조·설거지, 요리·서빙 기타, 유통·판매 기타",,
23,"롯데백화점 광복점 모시모시에서 홀서빙정직원 구합니다. / 요리·서빙 기타, 백화점·아울렛·쇼핑몰, 서빙·포장",,
24,"(급구) 부산북구만덕 삼소통나무집에서 주방보조 주중주말 구합니다. / 요리·서빙 기타, 서빙·포장, 주방·주방보조·설거지",,
25,"종합 분식점 오후 판매 홀서빙 1명 직원 모십니다. / 요리·서빙 기타, 서빙·포장, 주방장·조리사",,
26,"한솥도시락 반여점 (토,일) 오후 아르바이트 구합니다 / 요리·서빙 기타",,
27,영도 동삼동 토.일 직원 모집 (백채 김치찌개) / 요리·서빙 기타,,
28,"금토일 18시-21시반 / 주말 12시-15시 서빙 모집. 해운대 장산역 / 요리·서빙 기타, 서빙·포장",,
29,"남산정요양병원 조리사, 조리원 정규직 구함 월9~10회휴무/연차별도/ 조리사자격증소지자 / 주방장·조리사, 주방·주방보조·설거지",,
30,"더파티 전지점 아르바이트 채용 / 요리·서빙 기타, 주차관리·주차도우미, 청소·미화·방역",,
31,"함께 할 하방맨2기 모집.하나방역 본사에서 영업에 자신 있어신 분을 모집합니다.당일지급 / 서비스 기타, 청소·미화·방역",,
32,꼬마김밥집에서 일하실분 구합니다 / 요리·서빙 기타,,
33,"야간홀서빙직원구함 / 요리·서빙 기타, 서빙·포장",,
34,"홀서빙 파트타임 구합니다 / 요리·서빙 기타, 서빙·포장",,
35,"서빙 구합니다 / 요리·서빙 기타, 서빙·포장",,
36,"쭈꾸미 전문점 주방 정직원 모집합니다 / 주방장·조리사, 주방·주방보조·설거지, 요리·서빙 기타",,
37,함경면옥 동래본점 홀 서빙 평일 파트타임 구합니다. / 요리·서빙 기타,,
38,"주6일 라멘/돈까스 정직원 구인 / 요리·서빙 기타, 주방장·조리사, 주방·주방보조·설거지",,
39,"경력(2년~3년이상) 모텔 카운터 대타 실장 구합니다. / 서비스 기타, 모텔·호텔·숙박",,
40,"가족처럼 따뜻하고 재밌게 일할 직원구합니다(홀서빙) 일요일 휴무 / 요리·서빙 기타, 서빙·포장",,
41,(단기) 송도 암남동 유료주차장 직원 채용합니다. / 주차관리·주차도우미,,
42,"부산 전지역 요양병원 간병사 모집합니다. 12시간, 24시간, 48시간 구함. 성별 무관 / 요양·간병·돌봄",,
43,"주례 장원갈비 종일반 정직원 모집합니다 / 요리·서빙 기타, 서빙·포장",,
44,"홍콩반점 영도 (주방) 10시~21시30 급여280 수습1개월 / 요리·서빙 기타, 주방장·조리사, 주방·주방보조·설거지",,
45,평일오후.오전반 직원분 구합니다 / 편의점,,
46,태종대 조개구이촌 올레에서 이모 모집합니다. / 요리·서빙 기타,,
47,"GS25 사하구평점 수, 목, 금 (저녁~밤) 근무자 모십니다 / 편의점",,
48,"부산대 중국집 주방보조 모집합니다 / 요리·서빙 기타, 주방장·조리사, 주방·주방보조·설거지",,
49,전단지 아르바이트 경력자모집 / 서비스 기타,,
50,학원 하원 차량기사님 구합니다(스타렉스 12인승) / 승용차·대리운전,,
51,홀 파트타임 3시간 (홀서빙) / 요리·서빙 기타,,
52,"짚신매운갈비찜 광안점 주말 홀 서빙 구합니다 / 요리·서빙 기타, 유통·판매 기타, 주방·주방보조·설거지",,
53,홀서빙 직원 / 서빙·포장,,
54,아수라-(일월화)주방 / 요리·서빙 기타,,
55,"하방맨2기 선착순 5명 모집.소독회사 같이 키워갈 하방맨2기를 모집합니다.일 12만이상 당 / 서비스 기타, 청소·미화·방역",,
56,"(하단동) 식당 홀 서빙 직원 구합니다. (일/월 ) / 요리·서빙 기타, 서빙·포장",,
57,육림구공탄 주말 (금.토.일)주방보조1명 알바모집 / 요리·서빙 기타,,
58,"부산신항만 물류창고 단순노무 장기일용직모집 / 택배·물류, 건설현장, 배송·이사",,
59,"부암동 1번지마트 매장관리, 캐셔 모집 / 대형마트·유통점",,
60,"호텔 구내식당 조리사/세척 직원 모집 / 주방·주방보조·설거지, 주방장·조리사",,
61,"펍카페 마린비어 주방 직원, 알바] (초보가능)구함 / 요리·서빙 기타, 주방·주방보조·설거지",,
62,"주방실장 주방보조 모집합니다. 동일업종경력자우대 / 요리·서빙 기타, 주방장·조리사, 주방·주방보조·설거지",,
63,"범일동 카페 점심12시~3시(주4회) 아르바이트 구합니다 / 주방·주방보조·설거지, 주방장·조리사",,
64,"청소 직원 모집 합니다. (호텔,모텔) / 모텔·호텔·숙박, 서비스 기타",,
65,치과에서 일하실분 초보가능 / 간호조무사·간호사,,
66,영도 동삼동 목.금 홀써빙 모집 (백채 김치찌개) / 요리·서빙 기타,,
67,때깔 영도점에서 주방보조 직원모집합니다 / 요리·서빙 기타,,
68,"소독회사 같이 키워갈 하방맨2기를 모집합니다.일 12만이상.영업 자신 있으신 분 환영. / 서비스 기타, 청소·미화·방역",,
69,"당일지급.하나방역 본사에서 영업에 자신 있어신 분을 모집합니다. / 서비스 기타, 청소·미화·방역",,
70,"1일20만이상의전도우미 모집, 망설이는 초보/경력단절/퇴직자 환영 / 요리·서빙 기타, 상조·웨딩·연회, 서비스 기타",,
71,"경력없어도-간단한 서빙만 해주시면 됩니다(일비15만원가능) / 서빙·포장, 상조·웨딩·연회, 서비스 기타",,
72,"남녀 경력무관 서빙,세팅,고객응대 일급15만이상 식사제공 중장년가능 미성년X / 문화·여가·생활 기타, 서빙·포장, 상조·웨딩·연회",,
73,"남녀 경력무관 서빙,세팅,고객응대 일급15만이상 식사제공 중장년가능 미성년X / 문화·여가·생활 기타, 서빙·포장, 상조·웨딩·연회",,
74,"센.터.오.픈 상담원 / 콜센터 / 인바운드·CS, 아웃바운드·TM, 금융·보험·카드",,
75,"Tm. 리서치설문조사,아주쉬움,맛집조사,전화업무,월~금 주2일~주3일도 가능 / 서비스 기타, 사무·기획·관리·홍보",,
76,"Tm.스케줄러 모집, 기본급+인센티브 약속잡아주는 TM 누구나 정말쉬운업무 / 서비스 기타, 아웃바운드·TM, 상담·영업기타",,
77,식자재 배송 기사님  채용합니다 / 축산·청과·농수산,,
78,"씨케이글로벌(주)수산물 가공 직원OK4대보험가입연차,퇴직금,단기알바 가능 / 생산·제조·조립·인쇄, 포장·검사",,
79,"같이 할 하방맨2기 모집.일 12만이상 당일지급 / 서비스 기타, 청소·미화·방역",,
80,부산진구 범내골 위치 한식뷔페 홀 아르바이트 구합니다 / 요리·서빙 기타,,
81,"9-3시1-6시] 재택가능교육비150만신입200만/경력업적무관400만 / 인바운드·CS, 아웃바운드·TM, 금융·보험·카드",,
82,"교육비 200만/오토콜 쉬운상담 / 센터평균 500만 / 경력보장 / 인바운드·CS, 아웃바운드·TM, 금융·보험·카드",,
83,"교육비 200만/오토콜 쉬운상담 / 센터평균 500만 / 경력보장 / 인바운드·CS, 아웃바운드·TM, 금융·보험·카드",,
84,"12일~ 21일 앉아서 강의 듣는 알바하실분 모집합니다. / 인바운드·CS, 금융·보험·카드, 사무·기획·관리·홍보",,
85,야간에 광고물 부착하실 기사분 구해요 차량 소유자이신분 연락 주세용~~ / 서비스 기타,,
86,"바리스타(220만원+인센티브) / 베이커리(근무급여협의) / 주방·주방보조·설거지, 요리·서빙 기타, 유통·판매 기타",,
87,"청송골갈비 서빙 모집 / 시급 12,000원 / 금,토,일 / 주말 알바 / 요리·서빙 기타, 서빙·포장",,
88,"호텔 구내식당 조리사/세척 직원 모집 / 주방·주방보조·설거지, 주방장·조리사",,
89,"2024년 추석 명절 단기 스태프 모집 / 백화점·아울렛·쇼핑몰, 대형마트·유통점, 유통·판매 기타",,
90,주차발렛파킹 일을 성실하게 하실 분을 정규직으로 모집합니다. / 주차관리·주차도우미,,
91,"초보가능  신입 200만원 보장 / 인바운드·CS, 아웃바운드·TM, 금융·보험·카드",,
92,"소독회사 같이 키워갈 하방맨3기를 모집합니다.일 12만이상 당일지급.선착순5명 / 서비스 기타, 청소·미화·방역",,
93,"신입200만원/교육비150만원/면접선물/재택가능 / 인바운드·CS, 아웃바운드·TM, 금융·보험·카드",,
94,"롯데백화점 광복점모시모시에서 주방 초밥부 및 간데기정직원(경력자)구합니다 / 백화점·아울렛·쇼핑몰, 주방장·조리사, 주방·주방보조·설거지",,
95,주방 겸 홀 직원 구함 멀티근무 (알바가능) / 요리·서빙 기타,,
96,"(10-3시파트재택가능) 교육비150신입200만경력400만보장면접선물 / 인바운드·CS, 아웃바운드·TM, 금융·보험·카드",,
97,"교육비 200만/오토콜 쉬운상담 / 센터평균 500만 / 경력보장 / 인바운드·CS, 아웃바운드·TM, 금융·보험·카드",,
98,"1기 OPEN (오전.오후파트상담원) / 인바운드·CS, 아웃바운드·TM, 금융·보험·카드",,
99,환자를 케어하며 즐겁게 병원생활을 하실 분을 모십니다. / 요양·간병·돌봄,,
100,"청룡민물장어주식회사 정직원 모집 / 요리·서빙 기타, 서빙·포장, 주방·주방보조·설거지",,
101,"소독회사 같이 키워갈 하방맨3기를 모집합니다.일 12만이상 당일지급 / 서비스 기타, 청소·미화·방역",,
102,"경력 1도 없어도 가능 / 유통·판매 기타, 사무·기획·관리·홍보, 인바운드·CS",,
103,"세탁 직원 모집합니다 / 청소·미화·방역, 생산·제조·조립·인쇄, 건설·토목 기타",,
104,"하나방역 본사에서 영업에 자신 있어신 분을 모집합니다.당일지급 / 서비스 기타, 청소·미화·방역",,
105,"호텔 구내식당 조리사/세척 직원 모집 / 주방·주방보조·설거지, 주방장·조리사",,
106,"(단기) 송도 메리어트호텔에서 발렛파킹 남,여 직원 채용합니다. / 주차관리·주차도우미",,
107,급)센텀마트 일요일 카운터 구합니다 / 유통·판매 기타,,
108,"통영해물밥상(한식당) 주방 직원모집 ( 정직원 ) / 요리·서빙 기타, 주방·주방보조·설거지",,
109,"교육비 200만/오토콜 쉬운상담 / 센터평균 500만 / 경력보장 / 인바운드·CS, 아웃바운드·TM, 금융·보험·카드",,
110,"같이 할 하방맨2기 모집.일 12만이상 수당지급 / 서비스 기타, 청소·미화·방역",,
111,"1일20만이상의전도우미 모집, 망설이는 초보/경력단절/퇴직자 환영 / 요리·서빙 기타, 상조·웨딩·연회, 서비스 기타",,
112,"1일20만이상의전도우미 모집, 망설이는 초보/경력단절/퇴직자 환영 / 요리·서빙 기타, 상조·웨딩·연회, 서비스 기타",,
113,"롤링파스타 명지점 평일 주방 보조 알바 구해요 / 요리·서빙 기타, 서빙·포장, 주방·주방보조·설거지",,
114,"경력 1도 없어도 가능 / 유통·판매 기타, 사무·기획·관리·홍보, 인바운드·CS",,
115,"경력 1도 없어도 가능 / 유통·판매 기타, 사무·기획·관리·홍보, 인바운드·CS",,
116,"경력없어도-간단한 서빙만 해주시면 됩니다(일비15만원가능) / 서빙·포장, 상조·웨딩·연회, 서비스 기타",,
117,"경력없어도-간단한 서빙만 해주시면 됩니다(일비15만원가능) / 서빙·포장, 상조·웨딩·연회, 서비스 기타",,
118,"청소 직원 모집 합니다. (호텔,모텔) / 모텔·호텔·숙박, 청소·미화·방역, 서비스 기타",,
119,"장안나물밥 홀서빙 / 주방직원 모집합니다 / 서빙·포장, 주방장·조리사, 주방·주방보조·설거지",,
120,"호텔 구내식당 조리사/세척 직원 모집 / 주방·주방보조·설거지, 주방장·조리사",,
121,"남녀 경력무관 서빙,세팅,고객응대 일급15만이상 식사제공 중장년가능 미성년X / 문화·여가·생활 기타, 서빙·포장, 상조·웨딩·연회",,
122,"남녀 경력무관 서빙,세팅,고객응대 일급15만이상 식사제공 중장년가능 미성년X / 문화·여가·생활 기타, 서빙·포장, 상조·웨딩·연회",,
123,"웨스틴조선부산 호텔 세탁실 직원 모집 / (주)삼익 / 모텔·호텔·숙박, 서비스 기타",,
124,"오픈1기  교육비150만신입200만경력400만 / 인바운드·CS, 아웃바운드·TM, 금융·보험·카드",,
125,"9-3시1-6시] 재택가능교육비150만신입200만/경력업적무관400만 / 인바운드·CS, 아웃바운드·TM, 금융·보험·카드",,
126,컨테이너 수리 (신입사원 )모집 합니다. / 건설현장,,
127,숲사랑어린이집 / 어린이집 조리사 구인 공고 / 어린이집 조리사               ,,
128,아쿠아셀 / 환경기계설비 연구개발 및 공사 프로젝트 매니저 업무 수행,,
129,"웰니스병원 / 기타보건의료종사원 구인 공고 / 기타 보건의료 종사원 의료기구 및 병실 베드 관리, 환자 이동 및 보조 ",,
130,수요양병원 / 조리사 구인 공고 / 조리사,,
131,효성프라요양병원 / 간호조무사 구인 공고 / 간호조무사,,
132,진흥산업 / 변압기 용접원 구인 공고 /                                     변압기 내 외부 용접                                                   ,,
133,수변최고 해운대점 / 조리사 구인 공고 /                                     조리사 (유관경력 우대)                                                  ,,
134,수변최고 미포점 / 조리사 구인 공고 /                                     조리사 (유관경력 우대)                                                  ,,
135,수변최고 롯데점 / 조리사 구인 공고 /                                     조리사 (유관경력 우대)                                                  ,,
136,금수복국 롯데점 / 조리사 구인 공고 /                                     조리사 (유관경력 우대)                                                  ,,
137,수변최고돼지국밥 송정점 / 조리사 구인 공고 /                                     조리사 (유관경력 우대)                                                  ,,
138,                                                                                         택시운전원            ,,
139,"한국보상원 / 사무원 구인 공고 /                                     사무원 (손실 보상 및 협의, 사무 보조)                                                  ",,
140,쁘띠쁘아유치원 / 유치원 조리사 구인 공고 / 어린이집 조리사               ,,
141,"드림나라병원 / 기타 보건 의료 종사원 공고 / 기타 보건 의료 종사원                                                   환자 이송 및 관리, 병실 관리 등                                                 ",,
142,도시농사꾼 농업회사법인 / 버섯 재배 및 물류관리 구인 공고 /                                     용호별빛공원 내 버섯재배 및 물류관리                                                  ,,
143,"에프지인더스트리 / 선박설계사 구인 공고 /                                     선박설계 (10년 이상 경력필수)                                                                            영어회화 가능자(비즈니스 회화 능통자), 대우조선/한진중공업 출신 우대                                       ",,
144, 제과제빵 / 음료제조사 / 조리사                 근면 성실하고 오래 근무 가능한 사람 우대              ,,
145,수변최고돼지국밥 / 조리사 구인 공고 /                                     조리사 (유관경력 우대)                                                  ,,
146,수변최고돼지국밥 센텀점 / 조리사 구인 공고 /                                     조리사 (유관경력 우대)                                                  ,,
147,금수복국 온천점 / 조리사 구인 공고 /                                     조리사 (유관경력 우대)                                                  ,,
148,금수복국 센텀벡스코점 / 조리사 구인 공고 /                                     조리사 (유관경력 우대)                                                  ,,
149,금수복국 동래점 / 조리사 구인 공고 /                                     조리사 (유관경력 우대)                                                  ,,
150,"우진피엠이 / CNC,MCT,사상,연마 기술직 구인 공고",,
151,해뜨는어린이집 / 어린이집 조리사 구인 공고 / 어린이집 조리사               ,,
152,꿈드림키즈 / 보육보조교사 구인 공고 / 어린이집 보육보조 교사               ,,
153,"시설특수관리 (빌딩전기관리, 호텔 시설물 유지보수 등)                 경력자 우대, 중식제공                ",,
154,"동창주조창 / 주조원 / 주조원 (조형)                 조형,중자 및 합형 생산 작업                ",,
155,하운드호텔 부산역점 / 호텔조리사 구인 공고 / 호텔 조리사 (유관경력 또는 한식/양식 자격증 소지자 우대)              조식 & 직원식 & 런치 조리                 ,,
156,재가요양보호사 채용 / 방문 복지서비스 제공업 / 요양보호사(필수),,
157,재가요양보호사 모집 / 개인 간병 및 유사 서비스업 / 요양보호사(필수),,
158,<괴정동>재가요양보호사 모집 / 개인 간병 및 유사 서비스업 / 요양보호사(필수),,
159,SK텔레콤 안락사옥 미화직원 채용 / 비주거용 부동산 관리업 / 관계없음  ,,
160,재가요양보호사 모집(남부민동) / 방문 복지서비스 제공업 / 요양보호사(필수),,
161,브니엘예술고등학교 교육공무직원(조리원) 채용공고 / 일반 고등학교 / 관계없음  ,,
162,(채용대행) 명륜동 명륜자이 아파트 미화원 / 경비 및 경호 서비스업 / 관계없음  ,,
163,재가요양보호사 구인 / 사회복지 서비스업 / 요양보호사(필수),,
164,재가요양보호사 모집 / 방문 복지서비스 제공업 / 요양보호사(필수),,
165,재가요양보호사 채용합니다 / 방문 복지서비스 제공업 / 요양보호사(필수),,
166,재가요양보호사 채용 / 방문 복지서비스 제공업 / 요양보호사1급(필수),,
167,용호동 아파트 보안대원 채용 / 사업시설 유지․관리 서비스업 / 관계없음  ,,
168,"어르신 다정하게 보살펴 주실 요양보호사 구합니다. / 사회복지 서비스업 / 요양보호사(필수)
기타 : 치매교육이수증",,
169,재가요양보호사 구인 (긴급) / 방문 복지서비스 제공업 / 요양보호사(필수),,
170,(민락동)오전 재가요양보호사 모집 / 방문 복지서비스 제공업 / 요양보호사2급(필수),,
171,재가 요양보호사 모집(정관) / 노인 요양 복지시설 운영업 / 요양보호사(필수),,
172,재가 요양보호사 모집 / 그 외 기타 보건업 / 요양보호사(필수),,
173,요양보호사 모집 / 노인 요양 복지시설 운영업 / 요양보호사1급(필수),,
