id,combined_cleaned
1,시니어 통합돌봄분야 역량강화교육 진취형 부산광역시 장노년일자리지원센터
2,디지털 일자리 교육 디지털 크리에이터 과정 월 교육생 모집 진취형 부산광역시 장노년일자리지원센터
3,디지털 리터러시 강사과정 진취형 부산광역시 장노년일자리지원센터
4,제회 해운대 멍때리기 대회 개최 예술형 부산광역시 해운대구청
5,년 건축도장기능사 양성교육 진취형 부산광역시 북구청
6,건설현장 신호수이동식크레인고소작업대 조종자격 교육 신청자 모집 공고 현실형 부산광역시 부산진구청
7,년 마이스 산업 성수기 시즌 특화 인력 매칭 사업부제마이스테프 참여자 모집 공고 부산경제진흥원은 고용노동부 부산광역시와 함께 부산 지역 마이스 기업의 성수기 시즌 구인을 촉진하고 인력난 완화를 지원하기 위한 년 마이스 산업 성수기 시즌 특화 인력 매칭 사업 부제 마이스태프 의 참여자 모집을 아래와 같이 공고하오니 많은 참여바랍니다  사업개요 사 업 명   마이스 산업 성수기 시즌 특화 인력 매칭 사업 부제 마이스테프 지원규모 일당 만원 추가 지급 총 건 시간 이상 근로 기준 지원대상 페스티벌 시월 행사 참여 스태프 지원내용 기업 매칭 후 행사 스태프 활동 시 추가 지급 활동비 일당 만원 지원 근로계약서 상 원 시간 작성시 원 지급되어야하지만 활동비 만원 추가되어 참여스태프에 총 만원 지급 일당 지급 기준은 일 시간이상 근로하여야 인정 매칭 인력 대상 현장 투입 역량 강화를 위한 사전 교육 참여 필수 사전 교육  수  금 日 중 日 참석 필수 모집기간   월   일  신청방법 신청기간   월    일   신청방법 부산일자리정보망 바로가기 __을 통한 신청 및 접수 상단 배너 참여하기 프로그램 마이스 산업 성수기 시즌 특화 인력 매칭 사업 클릭 신청 및 지원 절차문 의 처 부산경제진흥원 동부산일자리종합센터 탐구형 부산경제진흥원
8,아시아 창업 엑스포  어워즈 시민평가단 모집 탐구형 부산테크노파크
9,무료강좌 신입직원의 힐링을 위한 나만의 티셔츠 만들기 많은 관심과 참여 부탁드리겠습니다 감사합니다 예술형 부산경영자총협회
10,기초역량 교육 수강생 모집 사회형 부산여자대학교
11,리터러시 강화교육 수강생 모집 진취형 부산여자대학교
12,년 부산형 시니어 채용지원사업 구직자 모집 _ 사회형 부산경영자총협회
13,부산형 시니어 적합직무 채용지원사업 참여자 모집 시니어적합직 무 채용관 바로가기 _ 로그인 및 참여신청서 업로드 입사지원 _ 사회형 부산경영자총협회
14,우리의 성장이야기  부산일자리정보망 참여후기 이벤트 부산일자리정보망에서 참여한 프로그램드림옷장 디딤돌카드 기쁨카드 취업후기의 후기를 작성하고 추첨을 통해 네이버페이도 받자 부산일자리정보망으로부터 시작된 여러분의 이야기를 들려주세요 사회형 부산경제진흥원
15,국민취업지원제도 이음길 취업에 대한 고민 이음길에서 나누고 돕겠습니다 어떤 취업 지원 서비스가 있을까요 직업심리검사로 나를 파악할 수 있어요 서류 작성 면접에 대한 고민 함께 해결해 나가요 유형에 따라 생계지원금도 받을 수 있어요이음길이 제공하는 특별한 취업 지원 서비스로 국민취업지원제도를더욱가치있게만들어보세요 아래 이미지를 클릭하시면 이음길과 함께 하는 사회형 고용노동부
16,신중년 경비원 양성을 위한 일반경비원 신임교육 교육비 지원 현실형 부산광역시 장노년일자리지원센터
17,부산형 관광마이스업 일자리 채움 지원금 참여자 모집 부산형 관광마이스업 일자리 채움 지원금 사업을 운영 합니다 부산 관광마이스 기업에 신규입사자 또는 입사예정자분들의 많은 관심과 참여 바랍니다 유형 선착순 마감완료 신청시 예비번호 부여 제출 서류 신청 기간   월  토 정규직취업일로부터 개월이내 사업 신청 지원 규모 명 예산범위 내 인원 소진 시 까지 유형은 선착순 마감되었습니다 다만 신청하시면 예비번호를 부여받게 되며 예산 증액 등 인원 조정시 예비순위대로 선발예정입니다 상황에 따라 선발되지 않을 수 있습니다 신청 방법 아래 신청하기 버튼 클릭 후 서류 제출 지원 대상 부산 소재 관광 마이스 기업에   월 이후소정근로시간 주 시간 이상 정규직으로 취업한 부산시 거주자 만 세 이상 관광마이스분야 지원업종 기준①여행업 ②관광숙박업 ③면세점업 ④전시 국제회의업 ⑤유원시설업 사업장 총괄카드 상 업종코드가 지원업종에 해당하지 않더라도 아래에 해당하는 기업 관광 마이스 관련 협회 및 단체 회원사인 사업장 자치단체에서 관광사업자등록증 전시사업자등록증 발급받은 사업장 지원 내용 정규직 취업 후 년 근속 시 최대 만원지원금 지급 정규직 취업일 기준 개월 근속 유지 확인 후 회차 지원금 개월 분 만원 을 지급하며 이후 지원금은 매월 근로자 근속 유지 확인 후 분할 지급 단 월 이후 입사자에 한해 개월 단위로 지급 휴가비 지원 인당 만원 정액 지급 아래 조건을 모두 충족하는 경우 특정 시점에 일괄지급① 워크넷을 통해알선취업또는 워크넷을 통해 직접 입사지원 한 자② 일 이상휴가를 사용한 자 관련 증빙자료 제출 관련문의 부산경제진흥원 동부산 일자리종합센터 자세한 내용은 첨부파일을 참고 바랍니다 붙임  년 관광 마이스업 플러스 일자리사업 통합 공고문수정붙임  부산형 관광 마이스업 일자리 채움 지원금 사업 신청 서식 탐구형 부산경제진흥원
18,신중년의 성공적인 재취업을 위한 취업역량 강화교육 사회형 부산광역시 장노년일자리지원센터
19,영도 로컬 카페창업 시그니처 클래스 신청자 모집 탐구형 부산광역시 영도구청
20,무료강좌 원데이클래스추석 선물 만들기전통키링만들기 예술형 부산경영자총협회
21,드론영상촬영 및 디지털 영상편집 교육특강 진취형 부산경상대학교
22,무료강좌 요즘 친구들의 매너있는 직장생활과 스마트한 업무 소통법 사회형 부산경영자총협회
23,무료강좌 신입에서 일잘러로 레벨 되기 사회형 부산경영자총협회
24,토퍼아트 이달의 오픈클래스 교육내용 무점포 소자본 창업 아이템 토퍼아트 모집인원 선착순 명신청인원이 많을 시 부산진구 거주자 우선 모집대상 부산거주 청년만 세 이상 세 이하 및 시민 교육문의 교육 담당자 예술형 주스마트소셜
25,시니어 구직자 카운슬링차 사회형 부산경제진흥원
26,월 원데이 클래스 이니셜 은반지 만들기 신청링크 상단 기재문의 교육담당자 예술형 주스마트소셜
27,년 수영구민 취업프로젝트 함께 잡아요 내 일수영구청 가정관리사 전문가 양성과정 수영구 가정관리사 전문가 양성과정    가정관리사 전문가  양성과정 이론 및 실습    교육기간     년 월일   화   월 일수    교육대상 세 이상 수영구 거주 여성  수영구 거주자 취업의지가 있는 자    신청방법  수영구 일자리종합센터 근무시간 내 방문접수    신분증필수   점심시간  수영구 일자리종합센터       사회형 부산광역시 수영구청
28,직업상담사 급 심리상담사 급 자격증 취득 과정 사회형 부산광역시 연제구청
29,무료강좌 공인노무사와 함께하는 산업안전보건교육경력 및 신입 대상 진취형 부산경영자총협회
30,일이면 나도 온라인 쇼핑몰 창업교육 수강생 모집 탐구형 부산광역시 북구청
31,연제 둘레길 해설사 양성과정 사회형 부산광역시 연제구청
32,년 부산진구 경비원 양성 교육하반기 참여자 모집 공고 현실형 부산광역시 부산진구청
33,일자리종합센터 월수영구 슬기로운 창생활 탐구형 부산광역시 수영구청
34,영도여성일드림센터 정리수납 특강 사회형 부산광역시 영도구청
35,제회 누구나 들을 수 있는 창업 강연재주상회 고선영 대표 탐구형 부산광역시 영도구청
36,무료강좌 마케팅전문가 급 발급 과정 탐구형 부산경영자총협회
37,직장 스트레스 해소를 위한 핸드메이드 가죽지갑 만들기 예술형 부산경영자총협회
38,부산 청년잡 성장프로젝트 신입직원 온보딩 교육 사회형 부산경영자총협회
39,초기 창업자를 위한 세무 기초 강연 진취형 부산광역시 영도구청
40,연제구 중장년층 가사서비스 전문인력 양성교육 사회형 부산광역시 연제구청
41,동구 범일초등학교 일대 공공디자인 진단을 위한 주민 참여자 모집 예술형 부산광역시의회
42,부산 청년잡 성장프로젝트 번아웃 방지를 위한 댕냥이 원데이클래스 사회형 부산경영자총협회
43,입사지원서 컨설팅  주차 불가 대중교통 이용 바랍니다 진취형 주스마트소셜
44,년 하반기 영도 창업오피스 입주기업팀 모집 탐구형 부산광역시 영도구청
45,부산 청년잡 성장프로젝트신입직원 온보딩자격증 발급과정 사회형 부산경영자총협회
46,부산 인턴십참여기업 하반기 모집 공고 문 의 처 장노년일자리혁신팀 박정언 대리 탐구형 부산광역시 장노년일자리지원센터
47,물려줄 결심 참가자 모집 사회형
48,나는 강사다 탐구형 부산연구원
49,아로마오일 활용 클레이 비누 만들기 이달의 오픈클래스 부산진구 청년창조발전소에서 이 달의 오픈클래스 공방체험아로마오일 활용 클레이비누 만들기 교육 참여 교육생을 모집합니다 교육일시 년 월 일목   시간 모집인원 선착순 명신청인원이 많을 시 부산진구 거주자 우선 모집대상 부산거주 청년만 세 이상 세 이하 및 시민 교육장소 부산진구 청년창조발전소 지하 층 부산 부산진구 대학로번길  교육문의 교육 담당자 예술형 주스마트소셜
50,제회 누구나 들을 수 있는 창업 강연 탐구형 부산광역시 영도구청
51,신중년 적합직종 양성교육 약국사무원 양성과정 현실형 부산광역시 장노년일자리지원센터
52,캠퍼스 리빙랩 지역문제 해결 아이디어 공모전 나눔부산 청년이 주도하는 리빙랩 지역문제 해결 아이디어 공모전이 돌아왔습니다 나눔참가자를 위한 다양한 활동 혜택이 기다리고 있으며 미래 부산 스마트시티를 이끌 청년창업가를 발굴하기 위해 나눔유익한 콘텐츠를 마련하였으니 많은 관심 부탁드립니다 나눔 지원대상 나눔 부산지역 대학원생 및 예비창업자 등 부산 청년만 세세 나눔 부산광역시에 주민등록이 되어있거나 부산광역시에 소재한 직장사업장학교에 소속된 청년 나눔 공고일 기준 청년 연령 기준  세      출생자 나눔 모집기간 월 금까지 나눔 지원규모 명 내외명 내외 나눔 지원단위 나눔 인 이상으로 구성된 팀개인 단위 신청 불가 신청 시 참가팀원 개별 전원 신청 나눔 지원내용 나눔 지역사회 문제를 해결하고자 하는 청년 대상 리빙랩 방법론을 통해 창의적인 사고 함양과 아이디어 실현 교육 등 프로그램 운영 나눔  화수부산 청년 참가자 대상 기업가정신교육 및 전담 퍼실리테이터 매칭 필참 요망 나눔  월 중 멘토링 및 리서치 활동을 통한 아이디어 도출 지원 나눔  월 말 우수팀개팀 선발을 위한 중간평가회 실시 나눔  월 중 우수팀 대상 심화 멘토링 제공 제작을 위한 활동지원금 지급팀별 만원 창업기업 창업지원공간 견학 및 창업 특강 실시 등 나눔  월 말 최종평가회 운영을 통한 최우수팀개팀 선정 및 시상부산광역시장상 나눔 신청방법 나눔 구글폼 신청서 작성 및 필수파일 제출  _ 나눔 문의처 나눔 부산창조경제혁신센터 창업육성팀  _ 진취형 주스마트소셜
53,일상 속으로 들어온 생성형부터 디지털 헬스케어까지 진취형 주스마트소셜
54,라이스클레이떡공예부산진구 청년마루 월 마루쿠킹클래스 예술형 부산진구 청년마루
55,사회복지시설 시니어 아동돌봄강사 모집 사회형 재함께일하는재단
56,일자리종합센터 월수영구 슬기로운 창생활 돋움 탐구형 부산광역시 수영구청
57,제회 누구나 들을 수 있는 창업 강연 탐구형 부산광역시 영도구청
58,부산 청년잡 성장프로젝트신입직원 온보딩 사회형 부산경영자총협회
59,해녀바다맛 쿠킹클래스 과정 수강생 모집 예술형 부산광역시 영도구청
60,온라인 창업을 위한 남구 커머스 아카데미 탐구형 부산광역시 남구청
61,년 상반기 경비원 양성 교육과정 참여자 모집 안내 현실형 부산광역시 해운대구청
62,부산형 시니어 적합직무 채용 문의 사부산경영자총협회  사회형 부산경영자총협회
63,년 수영구민 취업프로젝트 함께 잡아요 내 일수영구 산모신생아 건강관리사 양성과정 사회형 부산광역시 수영구청
64, 채용촉진 구직자 모집 사회형 부산경영자총협회
65,월 스타트 영도 누구나 들을 수 있는 창업 강연 탐구형 부산광역시 영도구청
66,향토기업 연계 신중년 보안인력 양성 아카데미 현실형 부산광역시 남구청
67,년 청년면접컨설팅 면접 사회형 부산경영자총협회
68,구직준비도 직업흥미검사구직 역량강화프로그램 신청방법 아래 신청하기 또는 전화접수 진취형 부산경제진흥원
69,워크넷 활용교육구직 역량강화프로그램 모바일휴대폰 워크넷 활용이 어려운 분들을 위한 워크넷 활용교육 부산일자리종합센터에서 이력서 등록 워크넷 입사지원 채용정보 탐색 등 알려드려요 선착순 마감 일시   수 시간 장소 부산청년창업허브 지하층 교육장 시청역번출구 국세청 옆건물 사전준비확인사항 본인명의 휴대폰본인인증절차 이력서 진취형 부산경제진흥원
70,년 제회 신중년 채용직무설명회 참여자 모집 사회형 부산광역시 장노년일자리지원센터
71,양성평등정책 모니터링단 모집 사회형 부산여성가족과 평생교육진흥원
72,스타트 영도 제회 누구나 들을 수 있는 창업 강연 탐구형 부산광역시 영도구청
73,무료한국표준협회 인공지능 전문가 양성을 위한 온라인 부트 캠프 진취형 한국표준협회
74,년 부산진구 경비원 양성 교육 현실형 부산광역시 부산진구청
75,책 읽어주는 북 나래이터 양성과정 등 자격과정 종 사회형 부산광역시 영도구청
76,마케팅취업관광컨벤션국제관광마케팅 실무교육 탐구형 부산예일직업전문학교
77,신중년 재취업 성공을 위한 종합지원 프로그램 사회형 부산광역시 장노년일자리지원센터
78,년 상반기 영도 창업오피스 입주기업팀 모집차 탐구형 부산광역시 영도구청
79,스타트 영도 누구나 들을 수 있는 창업 강연 탐구형 부산광역시 영도구청
80,국비전액지원 물류무역관리 실무자 양성 국제무역사 물류관리사 교육생 모집 예일홈페이지 __ 진취형 부산예일직업전문학교
81,산모신생아 건강관리사 양성교육 사회형 부산광역시 사하구청
82,년 상반기 영도 창업오피스 입주기업팀 모집 탐구형 부산광역시 영도구청
83,평생직업교육프로그램 진취형 부산경상대학교
84,기초역량 교육 진취형 부산경상대학교
85,디지털 리터러시초급 진취형 부산경상대학교
86,수정 푸드트럭 예비창업자 창업지원 프로그램 지원자 모집 탐구형 부산광역시 금정구청
87,구직자 레벨업 취업특강개별 맞춤형 특강 사회형 부산경제진흥원
88,교육부산중장년내일센터 월 프로그램 오프라인 교육은 선착순 조기마감 될 수 있습니다 사회형 노사발전재단
89,년 부산광역시 복지분야 디지털 조력자양성 과정 교육생모집 문의 카카오채널디지털드림센터 진취형 부산광역시 금정구청
90,년 사회적경제 창업 활성화 금정대학 수강생 모집 홍보 탐구형 부산광역시 금정구청
91,개별맞춤형 취업특강 진취형 부산경제진흥원
92,모집 취업알선형 조리원 직종교육 세대 재취업지원사업 현실형 부산광역시 장노년일자리지원센터
93,년 사회적경제 창업 활성화 금정대학기 탐구형 부산광역시 금정구청
94,년 사회적경제 창업 활성화 금정대학기 탐구형 부산광역시 금정구청
95,경력단절여성 일자리 지원 프로그램 현실형 부산경제진흥원
96, 전문간병사돌봄 실무자 양성 교육 과정 교육생 모집 안내 사회형 부산광역시 해운대구청
97,스마트팜 활용 마을기업 입문 현실형 부산광역시 연제구청
98,거제동 스마트폰 활용지도사 급 자격과정 진취형 부산광역시 연제구청
99,차 미취업자 사후관리 서비스 사회형 사하여성인력개발센터
100,부산진구 찐스타트업 캠퍼스 창업 토크 콘서트 참여자 모집 탐구형 부산광역시 부산진구청
101,부산일자리종합센터 구직자 취업스킬 코칭교육차 사회형 부산경제진흥원
102,면접 실전 프로그램 진취형 부산광역시 사상구청
103,교육부산중장년내일센터 월 프로그램 오프라인 교육은 선착순 조기마감 될수 있습니다 사회형 노사발전재단
104,부기와 함께하는 굿잡 부산 잡 페스티벌 부기투어 현재 부기투어 회차 회차  회차 는 신청 마감 되었습니다 신청 시 참고 부탁드립니다 탐구형 부산경제진흥원
105,수영구청 창업특강 입소문으로 잘 먹고 잘 사는 법초기마케팅특강 교육내용 입소문으로 잘 먹고 잘 사는 법 예비 및 초기 창업자를 위한 초기마케팅특강 일 시 수  시간소요 교육대상 예비 및 초기 창업자 수영구민 명 장 소 수영구청 중회의실 층 접수 방법 수영구일자리종합센터 본인 방문 신분증 지참 월 금 휴식시간 시 네이버폼 온라인접수가능   접수 기한 월 금 기타 사항 개인용 노트북 혹은 태블릿 모바일로도 가능 준비요망 주차장 협소 대중교통 이용바람 문의 수영구 일자리종합센터 탐구형 부산광역시 수영구청
106,년 동래구 사회적경제기업 창업아카데미 수강생 모집 탐구형 부산광역시 동래구청
107,북구 온라인 창업 비즈니스 아카데미 탐구형 부산광역시 북구청
108,교육부산중장년내일센터 월 프로그램 교육생모집 오프라인 교육은 선착순 조기마감 될수 있습니다 사회형 노사발전재단
109,에너지업 취업 박람회 신청자 모집 서부산 기계부품산업 에너지업 취업 박람회 신청자 모집 부산광역시와 부산경제진흥원에서 서부산권 기계부품산업 일자리 매칭 확대 및 구인난 해소를 위해  서부산 기계부품산업 에너지업 취업 박람회 를 아래와 같이 개최합니다 일시 년 월 일 화  장소 신라스테이 서부산 층 대연회장 돋움 행사당일 셔틀버스 운영 하단역 번출구 시분부터 매시간 정각분 행사장 출발 대상 서부산 기계부품산업 기업 취업 희망자 돋움 행사내용 현장면접 무료증명사진촬영 돋움 퍼스널컬러골격진단컨설팅 채용설명회 돋움 명사특강 사전신청 접수기한 년 월 일 월 시까지 사전신청 링크  _ 참여기업 주 성일터빈 오리온산업 주 일진정밀공업사 주 케이에스피 주 코밸 우성밸브 주 부곡스텐레스 주 세기정밀 주 오복전기 주식회사 나래전자 비엔스틸라주 돋움 채용직무 생산 및 가공직 연구개발직 품질 및 생산관리직 자재구매관리직 공무 경영지원직 영업관리직 설계직 등 기업소개 및 채용정보 상세 확인 돋움 주성일터빈  ____ 오리온산업주  ____ 일진정밀공업사  ____ 주케이에스피  ____ 주코밸  ____ 우성밸브주  ____ 부곡스텐레스주  ____ 세기정밀  ____ 주오복전기  ____ 주식회사 나래전자  ____ 비엔스틸라주  ____ 문의 부산경제진흥원 서부산 기계부품산업 일자리센터 사전신청자 선착순 스타벅스 기프티콘 지급 참여확인 후 현장 참여자 대상 다양한 기념품 제공 탐구형 부산경제진흥원
110, 북구 온라인 창업 학교 많은 관심과 참여 부탁드립니다 탐구형 주빛솔인재개발원
111,부산 반려동물 산업 아이디어 경진대회 참가자 모집 탐구형 부산경제진흥원
112,좋은 일자리 찾기 협력 프로젝트 국회부산도서관 사회형 부산경제진흥원
113,통계조사원 양성과정        번 진취형 사상여성인력개발센터
114,모집 취업연계형 룸메이드 직종교육 세대 재취업지원사업 현실형 부산광역시 장노년일자리지원센터
115,건설현장 비계 양성 교육참여자 모집 기간연장 현실형 부산광역시 부산진구청
116,센터내사진관 예술형 부산경제진흥원
117,교육부산중장년내일센터 월 프로그램 교육생모집 오프라인 교육은 선착순 조기마감 될수 있습니다 사회형 노사발전재단
118,심리안정 힐링특강 사회형 부산경제진흥원
119,교육 자율주행자동차 데이터 레이블러 교육 수강생 모집 진취형 부산광역시 북구청
120,수영구청 년 하반기 산모ㆍ신생아 건강관리사 양성과정 사회형 부산광역시 수영구청
121,통합 실버케어전문가 양성과정 사회형 사상여성인력개발센터
122,센터내사진관 매월  번째 수요일 서부산 기계부품산업 일자리센터를 방문하면 증명사진 촬영이 무료  기 간     번째 수요일 시  대 상 서부산 일자리센터 방문 구직자 회당 명 내외 선착순 촬영  운영방법 사진촬영 후 당일 보정 출력장 가능 합니다 각 회차별 적정 인원 선착순 마감되므로 예약 후 참여를 추천 드립니다 프로그램 참여 시 대기시간 발생할 수 있습니다  참여방법 방문접수 서부산 기계부품산업 일자리센터 사하구 낙동남로  정우헤리티지빌딩 층 전화접수 예술형 부산경제진흥원
123,헬스케어 서비스 전문가 양성과정 기 모집 사회형 부산광역시 수영구청
124,건설현장 비계 양성 교육 현실형 부산광역시 부산진구청
125,중장년 인생 모작 설계 준비 지원 교육 참여자 모집 사회형 부산광역시 동래구청
126,부산일자리종합센터 구직자 취업의욕 고취교육차 사회형 부산경제진흥원
127,교육 부산중장년내일센터 월 프로그램 교육생 모집 사회형 노사발전재단
128,특수고용직 일자리 지원 프로그램_주생각대로 현실형 부산경제진흥원
