id,certification
1,관계없음
2,관계없음
3,관계없음
4,관계없음
5,관계없음
6,관계없음
7,관계없음
8,관계없음
9,관계없음
10,관계없음
11,관계없음
12,관계없음
13,관계없음
14,관계없음
15,관계없음
16,관계없음
17,관계없음
18,관계없음
19,관계없음
20,관계없음
21,관계없음
22,관계없음
23,관계없음
24,관계없음
25,관계없음
26,관계없음
27,관계없음
28,관계없음
29,관계없음
30,관계없음
31,관계없음
32,관계없음
33,관계없음
34,관계없음
35,관계없음
36,관계없음
37,관계없음
38,관계없음
39,관계없음
40,관계없음
41,관계없음
42,관계없음
43,관계없음
44,관계없음
45,관계없음
46,관계없음
47,관계없음
48,관계없음
49,관계없음
50,관계없음
51,관계없음
52,관계없음
53,관계없음
54,관계없음
55,관계없음
56,관계없음
57,관계없음
58,관계없음
59,관계없음
60,관계없음
61,관계없음
62,관계없음
63,관계없음
64,관계없음
65,관계없음
66,관계없음
67,관계없음
68,관계없음
69,관계없음
70,관계없음
71,관계없음
72,관계없음
73,관계없음
74,관계없음
75,관계없음
76,관계없음
77,관계없음
78,관계없음
79,관계없음
80,관계없음
81,관계없음
82,관계없음
83,관계없음
84,관계없음
85,관계없음
86,관계없음
87,관계없음
88,관계없음
89,관계없음
90,관계없음
91,관계없음
92,관계없음
93,관계없음
94,관계없음
95,관계없음
96,관계없음
97,관계없음
98,관계없음
99,관계없음
100,관계없음
101,관계없음
102,관계없음
103,관계없음
104,관계없음
105,관계없음
106,관계없음
107,관계없음
108,관계없음
109,관계없음
110,관계없음
111,관계없음
112,관계없음
113,관계없음
114,관계없음
115,관계없음
116,관계없음
117,관계없음
118,관계없음
119,관계없음
120,관계없음
121,관계없음
122,관계없음
123,관계없음
124,관계없음
125,관계없음
126,관계없음
127,관계없음
128,관계없음
129,관계없음
130,관계없음
131,관계없음
132,관계없음
133,관계없음
134,관계없음
135,관계없음
136,관계없음
137,관계없음
138,관계없음
139,관계없음
140,관계없음
141,관계없음
142,관계없음
143,관계없음
144,관계없음
145,관계없음
146,관계없음
147,관계없음
148,관계없음
149,관계없음
150,관계없음
151,관계없음
152,관계없음
153,관계없음
154,관계없음
155,관계없음
156,관계없음
157,관계없음
158,관계없음
159,관계없음
160,관계없음
161,관계없음
162,관계없음
163,관계없음
164,관계없음
165,관계없음
166,관계없음
167,관계없음
168,관계없음
169,관계없음
170,관계없음
171,관계없음
172,관계없음
173,관계없음
174,관계없음
175,관계없음
176,관계없음
177,관계없음
178,관계없음
179,관계없음
180,관계없음
181,관계없음
182,관계없음
183,관계없음
184,관계없음
185,관계없음
186,관계없음
187,관계없음
188,관계없음
189,관계없음
190,관계없음
191,관계없음
192,관계없음
193,관계없음
194,관계없음
195,관계없음
196,관계없음
197,관계없음
198,관계없음
199,관계없음
200,관계없음
201,관계없음
202,관계없음
203,관계없음
204,관계없음
205,관계없음
206,관계없음
207,관계없음
208,관계없음
209,관계없음
210,관계없음
211,관계없음
212,관계없음
213,관계없음
214,관계없음
215,관계없음
216,관계없음
217,관계없음
218,관계없음
219,관계없음
220,관계없음
221,관계없음
222,관계없음
223,관계없음
224,관계없음
225,관계없음
226,관계없음
227,관계없음
228,관계없음
229,관계없음
230,관계없음
231,관계없음
232,관계없음
233,관계없음
234,관계없음
235,관계없음
236,관계없음
237,관계없음
238,관계없음
239,관계없음
240,관계없음
241,관계없음
242,관계없음
243,관계없음
244,관계없음
245,관계없음
246,관계없음
247,관계없음
248,관계없음
249,관계없음
250,관계없음
251,관계없음
252,관계없음
253,관계없음
254,관계없음
255,관계없음
256,관계없음
257,관계없음
258,관계없음
259,관계없음
260,관계없음
261,관계없음
262,관계없음
263,관계없음
264,관계없음
265,관계없음
266,관계없음
267,관계없음
268,관계없음
269,관계없음
270,관계없음
271,관계없음
272,관계없음
273,관계없음
274,관계없음
275,관계없음
276,관계없음
277,관계없음
278,관계없음
279,관계없음
280,관계없음
281,관계없음
282,관계없음
283,관계없음
284,관계없음
285,관계없음
286,관계없음
287,관계없음
288,관계없음
289,관계없음
290,관계없음
291,관계없음
292,관계없음
293,관계없음
294,관계없음
295,관계없음
296,관계없음
297,관계없음
298,관계없음
299,관계없음
300,관계없음
301,관계없음
302,관계없음
303,관계없음
304,관계없음
305,관계없음
306,관계없음 
307,요양보호사(필수)
308,관계없음 
309,관계없음 
310,관계없음 
311,요양보호사1급(필수) 기타 : 치매교육 이수증 필수
312,관계없음 
313,요양보호사(필수)
314,요양보호사1급(필수)
315,요양보호사(필수)
316,요양보호사(필수)
317,관계없음 
318,요양보호사(필수)
319,관계없음 
320,요양보호사(필수)
321,요양보호사(필수)
322,요양보호사(필수)
323,관계없음 
324,관계없음 
325,요양보호사(필수)
326,요양보호사(필수)
327,요양보호사1급(필수)
328,관계없음 
329,공조냉동기계기능사(필수) 기타 : 냉동공조관련자격증
330,요양보호사(필수)
331,요양보호사(필수)
332,요양보호사1급(필수)
333,요양보호사1급(필수)
334,관계없음 
335,관계없음 
336,관계없음 
337,관계없음 
338,요양보호사(필수)
339,요양보호사(필수)
340,요양보호사(필수)
341,요양보호사(필수)
342,관계없음 
343,관계없음 
344,요양보호사(필수)
345,요양보호사1급(필수)
346,관계없음 
347,요양보호사1급(필수)
348,관계없음 
349,관계없음 
350,요양보호사1급(필수)
351,관계없음 
352,관계없음 
353,요양보호사(필수)
354,요양보호사(필수)
355,요양보호사(필수)
356,요양보호사(필수)
357,관계없음 
358,요양보호사(필수)
359,"요양보호사1급(필수) , 자동차운전면허1종보통(필수)"
360,요양보호사(필수)
361,요양보호사1급(필수)
362,관계없음 
363,요양보호사(필수)
364,요양보호사(필수)
365,요양보호사(필수)
366,요양보호사(필수)
367,"요양보호사(필수) , 요양보호사1급(필수)"
368,요양보호사1급(필수)
369,한식조리기능사(필수) 기타 : 조리사 자격증 필수
370,요양보호사1급(필수)
371,관계없음 
372,요양보호사(필수)
373,요양보호사(필수)
374,관계없음 
375,요양보호사1급(필수)
376,관계없음 
377,요양보호사(필수)
378,자동차운전면허1종보통(필수)
379,요양보호사(필수)
380,요양보호사(필수)
381,요양보호사(필수)
382,요양보호사1급(필수)
383,관계없음 
384,관계없음 
385,요양보호사1급(필수)
386,요양보호사(필수)
387,관계없음 
388,관계없음 
389,요양보호사1급(필수)
390,관계없음 
391,요양보호사1급(필수)
392,요양보호사1급(필수)
393,관계없음 
394,자동차운전면허1종보통(필수)
395,요양보호사(필수)
396,관계없음 
397,요양보호사(필수)
398,자동차운전면허1종보통(필수)
399,관계없음 
400,요양보호사1급(필수)
401,요양보호사(필수)
402,관계없음 
403,관계없음 
404,요양보호사(필수)
405,요양보호사(필수)
406,관계없음 
407,요양보호사(필수)
408,관계없음 
409,요양보호사1급(필수)
410,요양보호사1급(필수)
411,요양보호사1급(필수)
412,요양보호사1급(우대)
413,관계없음 
414,관계없음 
415,에너지관리기능사(필수) 기타 : 또는 보일러기사자격증(필수)
416,요양보호사(필수)
417,관계없음 
418,요양보호사(필수)
419,요양보호사2급(필수)
420,"요양보호사(필수) , 요양보호사1급(필수)"
421,요양보호사(필수)
422,관계없음 
423,관계없음 
424,요양보호사1급(필수)
425,요양보호사(필수)
426,관계없음 
427,관계없음 
428,관계없음 
429,요양보호사(필수)
430,관계없음 
431,요양보호사(필수)
432,요양보호사(필수)
433,요양보호사(필수)
434,관계없음 
435,"한식조리기능사(필수) , 양식조리기능사(필수)"
436,관계없음 
437,요양보호사(필수)
438,요양보호사(필수)
439,관계없음 
440,관계없음 
441,요양보호사(필수)
442,요양보호사(필수)
443,요양보호사(필수)
444,요양보호사(필수)
445,요양보호사(필수)
446,요양보호사(필수)
447,관계없음 
448,요양보호사(필수)
449,요양보호사(필수)
450,관계없음 
451,관계없음 
452,요양보호사(필수)
453,"요양보호사(필수) , 요양보호사1급(필수)"
454,요양보호사(필수)
455,관계없음 
456,한식조리기능사(필수) 기타 : 인근거주자 우대
457,요양보호사(필수)
458,요양보호사(필수)
459,관계없음 
460,요양보호사(필수)
461,요양보호사(필수)
462,요양보호사(필수)
463,요양보호사(필수)
464,요양보호사1급(필수)
465,기타 : 경비원신임교육 이수증 필수
466,요양보호사1급(필수)
467,요양보호사1급(필수) 기타 : .
468,관계없음 
469,간호조무사(우대)
470,요양보호사1급(필수)
471,관계없음 
472,관계없음 
473,관계없음 
474,요양보호사(필수)
475,관계없음 
476,요양보호사(필수)
477,관계없음 
478,요양보호사(필수)
479,요양보호사(필수)
480,요양보호사(우대)
481,요양보호사(필수)
482,관계없음 
483,관계없음 
484,요양보호사(필수)
485,관계없음 
486,관계없음 
487,요양보호사1급(필수)
488,관계없음 
489,요양보호사(필수)
490,요양보호사(필수)
491,관계없음 
492,관계없음 
493,관계없음 
494,관계없음 
495,요양보호사(필수)
496,요양보호사1급(필수)
497,요양보호사(필수)
498,요양보호사(필수)
499,요양보호사(필수)
500,요양보호사(필수)
501,한식조리기능사(필수) 기타 : 外 기타 조리사 자격증
502,요양보호사(필수)
503,관계없음 
504,요양보호사(필수)
505,관계없음
506,관계없음
507,관계없음
508,관계없음
509,관계없음
510,관계없음
511,관계없음
512,관계없음
513,관계없음
514,관계없음
515,관계없음
516,관계없음
517,관계없음
518,관계없음
519,관계없음
520,관계없음
521,관계없음
522,관계없음
523,관계없음
524,관계없음
525,관계없음
526,관계없음
527,관계없음
528,관계없음
529,관계없음
530,관계없음
531,관계없음
532,관계없음
533,관계없음
534,관계없음
535,관계없음
536,관계없음
537,관계없음
538,관계없음
539,관계없음
540,관계없음
541,관계없음
542,관계없음
543,관계없음
544,관계없음
545,관계없음
546,관계없음
547,관계없음
548,관계없음
549,관계없음
550,관계없음
551,관계없음
552,관계없음
553,관계없음
554,관계없음
555,관계없음
556,관계없음
557,관계없음
558,관계없음
559,관계없음
560,관계없음
561,관계없음
562,관계없음
563,관계없음
564,관계없음
565,관계없음
566,관계없음
567,관계없음
568,관계없음
569,관계없음
570,관계없음
571,관계없음
572,관계없음
573,관계없음
574,관계없음
575,관계없음
576,관계없음
577,관계없음
578,관계없음
579,관계없음
580,관계없음
581,관계없음
582,관계없음
583,관계없음
584,관계없음
585,관계없음
586,관계없음
587,관계없음
588,관계없음
589,관계없음
590,관계없음
591,관계없음
592,관계없음
593,관계없음
594,관계없음
595,관계없음
596,관계없음
597,관계없음
598,관계없음
599,관계없음
600,관계없음
601,관계없음
602,관계없음
603,관계없음
604,관계없음
605,관계없음
606,관계없음
607,관계없음
608,관계없음
609,관계없음
610,관계없음
611,관계없음
612,관계없음
613,관계없음
614,관계없음
615,관계없음
616,관계없음
617,관계없음
618,관계없음
619,관계없음
620,관계없음
621,관계없음
622,관계없음
623,관계없음
624,관계없음
625,관계없음
626,관계없음
627,관계없음
628,관계없음
629,관계없음
630,관계없음
631,관계없음
632,관계없음
633,관계없음
634,관계없음
635,관계없음
636,관계없음
637,관계없음
638,관계없음
639,관계없음
640,관계없음
641,관계없음
642,관계없음
643,관계없음
644,관계없음
645,관계없음
646,관계없음
647,관계없음
648,관계없음
